Risk Title,Risk Statement/Description,Risk Level (Inherent),Primary Control Type,Primary Control Description,Secondary Control Type,Secondary Control Description
Unliquidated Obligations,"Risk of obligations remaining open beyond the period of performance, tying up funds that could be used elsewhere.",High,Preventive,"Automated duplicate payment detection system that flags matching amounts, vendors, and invoice numbers.",Corrective,Debt collection procedures for recovering overpayments including installment agreements and wage garnishment.
Unauthorized Commitment,Risk of employees making commitments or agreements with vendors without proper contracting authority.,High,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Mail Screening Failure,Risk of dangerous items entering facilities through mail or package delivery channels.,High,Detective,Monthly safety inspection rounds identifying and documenting hazards with tracking of corrective action completion.,Preventive,Ergonomic assessment program providing workstation evaluations and equipment adjustments for at-risk employees.
Chemical Spill Response Delay,"Risk of inadequate or delayed response to chemical spills, increasing environmental and health damage.",High,Detective,"Annual compliance data analysis identifying trends, repeat violators, and sectors requiring increased oversight.",Corrective,Compliance schedule agreements providing regulated entities defined timelines to achieve full compliance.
Revenue Leakage,"Risk of undetected loss of expected revenue due to billing errors, uncollected fees, or missed receivables.",Medium,Preventive,Multi-level approval workflow for payment processing with system-enforced separation between requestor and approver.,Preventive,Vendor validation procedures verifying new vendor legitimacy before adding to the payment system.
Building Systems Failure,"Risk of HVAC, electrical, or plumbing system failures disrupting facility operations.",Critical,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Interagency Agreement Disputes,Risk of financial disagreements arising from interagency service agreements and reimbursable work authorizations.,Medium,Detective,Quarterly internal audit sampling of financial transactions to identify anomalies and non-compliant payments.,,
Program Evaluation Deficiency,Risk of inadequate program evaluation methods failing to accurately measure effectiveness and outcomes.,Medium,Preventive,Stakeholder engagement plans developed during project initiation with regular feedback mechanisms and communication schedules.,Preventive,Portfolio management framework balancing resource allocation across competing program priorities.
Grant Recipient Capacity Gap,Risk of awarding grants to organizations that lack the capacity to manage federal funds properly.,High,Preventive,Grants management training required for all project officers with certification in federal grants regulations.,Detective,Risk-based desk reviews of grant recipient financial reports comparing expenditures to approved budgets.
Vendor Financial Instability,Risk of key vendors experiencing financial difficulties that threaten their ability to deliver services.,Low,Corrective,"Asset disposal procedures ensuring proper environmental review, data sanitization, and regulatory compliance.",,
Warehouse Security Gap,Risk of theft or damage to stored equipment and supplies due to inadequate warehouse security.,Medium,Preventive,Incoming inspection procedures verifying material specifications and authenticity before acceptance into inventory.,Preventive,"Green purchasing requirements ensuring compliance with recycled content, energy efficiency, and biobased mandates."
Cost Allocation Errors,"Risk of incorrect allocation of shared costs across programs, leading to misrepresentation of program expenses.",Low,Preventive,Automated budget threshold monitoring with real-time alerts when spending reaches 80% and 95% of allocated amounts.,Corrective,Formal corrective action process for employees found to have violated financial management policies.
Analytics Bias,Risk of biased data or analytical methods leading to flawed conclusions and inequitable policy decisions.,Critical,Preventive,Records management training required for all employees with role-specific modules for records custodians.,Preventive,Section 508 compliance reviews ensuring published data and reports are accessible to individuals with disabilities.
Quality Assurance Breakdown,Risk of inadequate quality checks allowing deficient work products to be accepted and used.,Low,Corrective,After-action reviews conducted at project completion with documented lessons learned and improvement recommendations.,Preventive,Standard operating procedures documented and maintained for all recurring program activities.
Program Evaluation Deficiency,Risk of inadequate program evaluation methods failing to accurately measure effectiveness and outcomes.,Medium,Detective,Quarterly performance metric validation comparing reported results against source data and independent verification.,Detective,Data-driven decision dashboards providing leadership visibility into program performance across the agency.
Vendor Financial Instability,Risk of key vendors experiencing financial difficulties that threaten their ability to deliver services.,Low,Preventive,Environmental management system certified to ISO 14001 for agency facility operations and waste management.,Corrective,Equipment lifecycle replacement planning ensuring timely modernization before failure and obsolescence.
Telework Policy Abuse,Risk of employees not meeting productivity expectations while working remotely due to inadequate oversight.,Low,Preventive,Background investigation and credential verification process completed before onboarding new employees.,Preventive,"Onboarding program with structured orientation, required training completion tracking, and first-year check-ins."
Chemical Spill Response Delay,"Risk of inadequate or delayed response to chemical spills, increasing environmental and health damage.",High,Preventive,Compliance assistance programs providing technical guidance and self-audit protocols to regulated facilities.,Preventive,Technical assistance workshops for small businesses and municipalities on meeting environmental requirements.
Hazardous Waste Mishandling,"Risk of improper storage, transport, or disposal of hazardous waste materials by regulated entities.",Medium,Detective,Continuous emission monitoring systems with automated reporting and threshold exceedance notifications.,Corrective,Emergency response cleanup coordination with responsible parties and federal on-scene coordinators.
Organizational Conflict of Interest,Risk of contractors having conflicting interests that could bias their work or recommendations.,High,Preventive,Competition advocate review required for all sole-source justifications above the simplified acquisition threshold.,Preventive,Warranted contracting officer oversight ensuring only authorized individuals execute contract actions.
Whistleblower Retaliation,"Risk of managers retaliating against employees who report wrongdoing, violating whistleblower protections.",High,Preventive,Knowledge transfer protocols requiring departing employees to document critical processes and train successors.,Preventive,Mentoring program pairing new employees with experienced staff to accelerate knowledge transfer and integration.
Procurement Fraud,Risk of fraudulent activities during the procurement process including kickbacks and falsified proposals.,Low,Preventive,"Mandatory small business subcontracting plans for contracts exceeding $750,000 with quarterly goal tracking.",Corrective,Termination procedures with documented settlement of costs and transition planning for replacement services.
Phishing Attack,Risk of employees falling victim to fraudulent emails designed to steal credentials or install malware.,Low,Preventive,Zero trust architecture requiring continuous verification of user identity and device health for resource access.,Preventive,Security awareness training for all employees with simulated phishing exercises and tracked completion rates.
Field Worker Safety,Risk of injuries to field staff conducting inspections or sampling at hazardous or remote sites.,Low,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Anti-Deficiency Act Violation,"Risk of obligating or expending funds in excess of or in advance of appropriations, violating federal law.",Medium,Preventive,"Legal sufficiency review required for all proposed enforcement actions, settlements, and regulatory interpretations.",Detective,"Compliance tracking database monitoring agency adherence to consent decrees, court orders, and settlement terms."
Environmental Justice Failure,Risk of disproportionate environmental impacts on disadvantaged communities due to inadequate policy consideration.,Critical,Corrective,Supplemental environmental project agreements requiring violators to fund environmental improvements in affected communities.,Preventive,Interagency coordination protocols with state environmental agencies for shared enforcement and compliance assistance.
Air Monitoring Network Gap,Risk of insufficient air quality monitoring stations leading to undetected pollution in populated areas.,Medium,Detective,Satellite imagery analysis combined with field verification for detecting unauthorized discharges and land use changes.,Detective,Self-monitoring report verification through independent sampling and analysis at a statistical sample of facilities.
Vendor Lock-In,"Risk of becoming dependent on a single vendor for critical services, limiting competition and negotiation leverage.",High,Corrective,Contractor performance assessment reports documented in federal databases for use in future source selections.,Preventive,Pre-solicitation conferences ensuring prospective offerors understand requirements and evaluation criteria.
Building Systems Failure,"Risk of HVAC, electrical, or plumbing system failures disrupting facility operations.",Critical,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Grant Application Fraud,Risk of applicants submitting false information in grant applications to obtain funding.,High,Detective,Single audit review process tracking findings related to agency grants with resolution follow-up.,Detective,Comparison of grant-reported outcomes with independent environmental monitoring data for verification.
Sole Source Justification Weakness,"Risk of inadequate justification for sole-source contracts, raising fairness and legal concerns.",Medium,Detective,Invoice audit program sampling contractor billing submissions for accuracy and compliance with cost principles.,Detective,Contract file reviews by procurement management ensuring documentation completeness and regulatory compliance.
Key Personnel Departure,"Risk of losing critical staff members with specialized knowledge, creating operational gaps and knowledge loss.",High,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Ethics Program Weakness,Risk of inadequate ethics training and guidance leading to employee ethics violations.,Medium,Corrective,Alternative dispute resolution program offering mediation and negotiation before formal adjudication.,Corrective,Regulatory guidance issuance process clarifying ambiguous requirements based on stakeholder feedback and enforcement experience.
Grant Application Fraud,Risk of applicants submitting false information in grant applications to obtain funding.,High,Preventive,"Grant terms and conditions clearly defining allowable costs, reporting requirements, and performance expectations.",Preventive,"New grant recipient orientation providing training on federal requirements, reporting, and financial management."
Stakeholder Engagement Failure,"Risk of inadequate engagement with stakeholders leading to opposition, misunderstanding, or lack of support.",High,Preventive,Stakeholder engagement plans developed during project initiation with regular feedback mechanisms and communication schedules.,,
Cross-Jurisdictional Conflict,"Risk of conflicting federal, state, and local regulatory requirements creating compliance confusion.",Medium,Detective,"Litigation tracking system monitoring case status, deadlines, and potential financial exposure across all active cases.",Preventive,Legal hold procedures preserving documents and electronic records when litigation is reasonably anticipated.
Unliquidated Obligations,"Risk of obligations remaining open beyond the period of performance, tying up funds that could be used elsewhere.",High,Preventive,Multi-level approval workflow for payment processing with system-enforced separation between requestor and approver.,Preventive,Vendor validation procedures verifying new vendor legitimacy before adding to the payment system.
Ergonomic Injury,Risk of musculoskeletal injuries from poor workstation setup or repetitive tasks in office environments.,Medium,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Energy Management Non-Compliance,Risk of failing to meet federal energy efficiency and sustainability mandates for agency facilities.,Medium,Preventive,Property accountability procedures with barcode or RFID tracking and annual certification by responsible officials.,Corrective,Expedited procurement procedures for emergency acquisitions of critical supplies during disruptions.
Mail Screening Failure,Risk of dangerous items entering facilities through mail or package delivery channels.,High,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
Contract Modification Abuse,Risk of excessive or unjustified contract modifications that significantly change the scope or cost.,Low,Preventive,Procurement integrity briefings required for all evaluation panel members before accessing proposals.,,
Intellectual Property Dispute,Risk of disputes over ownership or use of intellectual property developed under agency contracts or grants.,High,Detective,OIG recommendation tracking system with quarterly status updates and escalation for overdue corrective actions.,Detective,Anti-Deficiency Act monitoring reports tracking obligation and expenditure rates against available appropriations.
Continuity Supply Stockpile Gap,Risk of insufficient emergency supplies stockpiled for continuity of operations during disruptions.,Medium,Preventive,Emergency supply pre-positioning at regional locations to support continuity of operations activations.,Detective,Energy audit program identifying opportunities for cost savings and efficiency improvements in facility operations.
Single Audit Finding,Risk of significant findings in grant recipient single audits indicating systemic financial management issues.,Medium,Preventive,Grants management training required for all project officers with certification in federal grants regulations.,Detective,Risk-based desk reviews of grant recipient financial reports comparing expenditures to approved budgets.
Credential Verification Failure,Risk of hiring individuals with falsified credentials or incomplete background checks.,High,Detective,Annual employee engagement surveys with trend analysis to identify emerging workforce issues before they escalate.,Preventive,"Leadership development program building supervisory skills in communication, conflict resolution, and performance management."
Workplace Violence,"Risk of violent incidents occurring at agency facilities, endangering employee safety.",Medium,Preventive,Controlled substance inventory management with dual-custody requirements and daily reconciliation.,Detective,Security audit program with periodic assessments of physical security measures and vulnerability identification.
Analytics Bias,Risk of biased data or analytical methods leading to flawed conclusions and inequitable policy decisions.,Critical,Detective,Annual data inventory review to verify classification levels and protection measures are appropriate.,Corrective,"Data correction procedures with audit trail documenting original values, corrections, and authorizing officials."
Resource Allocation Imbalance,"Risk of uneven distribution of resources across programs, leaving critical areas understaffed or underfunded.",High,Corrective,Corrective action plans developed for programs not meeting performance targets with milestone tracking.,,
Performance Metric Manipulation,Risk of program metrics being manipulated or selectively reported to present artificially favorable results.,Medium,Detective,Quarterly performance metric validation comparing reported results against source data and independent verification.,Detective,Data-driven decision dashboards providing leadership visibility into program performance across the agency.
Interagency Agreement Disputes,Risk of financial disagreements arising from interagency service agreements and reimbursable work authorizations.,Medium,Preventive,System-enforced spending limits on purchase cards with real-time transaction monitoring and blocked merchant categories.,,
Task Order Scope Creep,Risk of work under task orders expanding beyond the original scope without proper authorization.,Medium,Preventive,Acquisition planning process requiring advance procurement schedules to prevent emergency or expedited actions.,Corrective,Cure notice and show cause procedures for addressing contractor performance deficiencies before termination.
Conflict of Interest,Risk of employees having undisclosed financial or personal interests that conflict with their official duties.,Medium,Detective,Quarterly review of telework agreements and productivity metrics to ensure remote work effectiveness.,Detective,Periodic review of position descriptions to ensure they accurately reflect current duties and qualifications.
COOP Activation Failure,Risk of Continuity of Operations Plan failing to maintain essential functions during a disruption.,Medium,Detective,Video surveillance systems monitored at security operations centers covering facility perimeters and sensitive areas.,Corrective,Hazard abatement tracking system ensuring identified safety hazards are corrected within established timeframes.
Enforcement Action Delay,"Risk of delayed enforcement actions against violators, reducing deterrent effect and prolonging environmental harm.",Low,Preventive,Pre-permit review process with technical evaluation of applicant compliance history and operational capabilities.,Preventive,Public notification requirements for permit applications ensuring community awareness and participation opportunities.
Training Compliance Gap,"Risk that employees do not complete required training, leaving them unprepared for their responsibilities.",Medium,Preventive,Succession planning program identifying and developing candidates for all senior leadership positions.,Detective,Workplace climate assessments conducted by independent facilitators in offices with reported morale concerns.
Warehouse Security Gap,Risk of theft or damage to stored equipment and supplies due to inadequate warehouse security.,Medium,Detective,"Fleet management system tracking vehicle maintenance schedules, fuel consumption, and utilization rates.",Detective,Space utilization studies measuring actual occupancy against allocated space to optimize facility footprint.
Master Data Inconsistency,"Risk of conflicting versions of core reference data across systems, causing errors in reporting and analysis.",High,Preventive,"Data sharing agreements template with mandatory security, use limitation, and disposition clauses.",Detective,Automated anomaly detection algorithms monitoring data streams for unexpected patterns or values.
Open Data Compliance Gap,Risk of failing to publish required datasets in accordance with open data mandates and policies.,Medium,Preventive,"Data validation rules enforced at the point of entry with automated checks for completeness, format, and range.",Detective,Annual privacy compliance review auditing PII handling practices against Privacy Act requirements.
Air Monitoring Network Gap,Risk of insufficient air quality monitoring stations leading to undetected pollution in populated areas.,Medium,Preventive,Risk-based inspection scheduling prioritizing facilities with history of violations and those in environmental justice areas.,Detective,Remote sensing and drone technology for monitoring difficult-to-access sites and large geographic areas.
Burnout and Attrition,Risk of high employee burnout leading to increased turnover and reduced organizational effectiveness.,Medium,Preventive,Conflict of interest disclosure requirements for all employees with annual certification and review.,Detective,Exit interview program analyzing departure reasons to identify systemic retention issues.
Inventory Management Failure,Risk of inaccurate inventory records leading to stockouts of essential supplies or excess waste.,High,Preventive,Emergency supply pre-positioning at regional locations to support continuity of operations activations.,Detective,Energy audit program identifying opportunities for cost savings and efficiency improvements in facility operations.
Property Accountability Failure,Risk of inability to account for government property assets due to poor tracking and documentation.,Medium,Detective,Annual physical inventory counts reconciled with system records and discrepancies investigated and resolved.,Corrective,Surplus property redistribution program redirecting excess items to offices with needs before disposal.
Performance Report Falsification,Risk of grant recipients submitting inaccurate performance reports to continue receiving funding.,Low,Corrective,Grant recipient corrective action plans with milestone tracking for resolving compliance deficiencies.,Corrective,Voluntary cost disallowance process allowing recipients to return questioned costs before formal audit findings.
Interagency Collaboration Breakdown,Risk of failed coordination with partner agencies undermining joint program objectives.,Medium,Detective,Quarterly performance metric validation comparing reported results against source data and independent verification.,Detective,Data-driven decision dashboards providing leadership visibility into program performance across the agency.
Indirect Cost Rate Dispute,Risk of disagreements over negotiated indirect cost rates leading to audit findings or payment delays.,Medium,Detective,On-site monitoring visits to high-risk grant recipients with documented findings and follow-up actions.,,
Environmental Justice Failure,Risk of disproportionate environmental impacts on disadvantaged communities due to inadequate policy consideration.,Critical,Preventive,Mandatory environmental impact assessment before approving permits for new facilities in sensitive areas.,Detective,Citizen complaint tracking system with investigation protocols and response time standards for reported violations.
Budget Overrun,"Risk that program expenditures exceed the allocated budget, leading to funding shortfalls and operational disruptions.",High,Corrective,Established procedures for recovering improper payments including demand letters and offset mechanisms.,Preventive,Annual certification by managers that all obligations under their authority are valid and necessary.
Ransomware Attack,"Risk of malicious software encrypting agency data and systems, demanding payment for restoration.",Medium,Preventive,Network segmentation isolating sensitive systems and data from general-purpose network segments.,Detective,User behavior analytics establishing baselines and detecting anomalous access patterns or data exfiltration.
Cloud Migration Data Loss,Risk of data corruption or loss during migration of applications and data from on-premise to cloud environments.,Medium,Detective,Quarterly vulnerability scanning of all internet-facing systems with remediation tracking and verification.,Detective,Annual penetration testing by independent assessors simulating real-world attack scenarios against agency systems.
Fire Safety Non-Compliance,"Risk of agency facilities not meeting fire safety codes, endangering occupants.",High,Corrective,"Incident investigation procedures with root cause analysis, corrective actions, and follow-up verification.",Detective,Injury and illness trend analysis identifying patterns that indicate systemic safety program weaknesses.
Telework Policy Abuse,Risk of employees not meeting productivity expectations while working remotely due to inadequate oversight.,Low,Preventive,Knowledge transfer protocols requiring departing employees to document critical processes and train successors.,Preventive,Mentoring program pairing new employees with experienced staff to accelerate knowledge transfer and integration.
Improper Payment Processing,"Risk of payments being processed incorrectly, resulting in overpayments, underpayments, or duplicate payments.",Medium,Preventive,Multi-level approval workflow for payment processing with system-enforced separation between requestor and approver.,Preventive,Vendor validation procedures verifying new vendor legitimacy before adding to the payment system.
Data Sharing Agreement Gap,"Risk of sharing data with external parties without proper agreements defining use, protection, and retention.",Low,Preventive,"Data validation rules enforced at the point of entry with automated checks for completeness, format, and range.",Detective,Annual privacy compliance review auditing PII handling practices against Privacy Act requirements.
Workplace Violence,"Risk of violent incidents occurring at agency facilities, endangering employee safety.",Medium,Preventive,"Physical access control systems with badge readers, visitor logs, and security personnel at all facility entry points.",Detective,Chemical hygiene plan compliance audits verifying laboratory safety practices and documentation.
